# Tempo	TCP1_cwnd	TCP1_ssthresh	TCP2_cwnd	TCP2_ssthresh
1	1	32	1	32
1.1000000000000001	2	32	1	32
1.2000000000000002	6	32	1	32
1.3000000000000003	16	32	1	32
1.4000000000000004	32.0937	32	1	32
1.5000000000000004	32.8333	32	1	32
1.6000000000000005	16	16	1	32
1.7000000000000006	16.0625	16	1	32
1.8000000000000007	16.0625	16	1	32
1.9000000000000008	2	8	1	32
2.0000000000000009	3	8	1	32
2.100000000000001	8.125	8	2	32
2.2000000000000011	9.60123	8	6	32
2.3000000000000012	10.6907	8	16	32
2.4000000000000012	11.4174	8	32	32
2.5000000000000013	12.3465	8	16	16
2.6000000000000014	6.17325	6	16.0625	16
2.7000000000000015	6.33524	6	16.0625	16
2.8000000000000016	6.33524	6	1	8
2.9000000000000017	2	3	2	8
3.0000000000000018	3.33333	3	4	8
3.1000000000000019	5.05378	3	8	8
3.200000000000002	5.97588	3	8.6066	8
3.300000000000002	6.77034	3	9.91037	8
3.4000000000000021	8.00038	3	11.2402	8
3.5000000000000022	9.38974	3	12.265	8
3.6000000000000023	10.3083	3	13.4358	8
3.7000000000000024	11.2405	3	14.4428	8
3.8000000000000025	12.1831	3	15.3184	8
3.9000000000000026	13.1341	3	16.0842	8
4.0000000000000027	13.7313	3	17.0517	8
4.1000000000000023	14.3734	3	17.9111	8
4.200000000000002	7.1867	7	18.7845	8
4.3000000000000016	7.32585	7	19.7207	8
4.4000000000000012	7.32585	7	20.7112	8
4.5000000000000009	1	3	21.8405	8
4.6000000000000005	2	3	22.8704	8
4.7000000000000002	3	3	23.8137	8
4.7999999999999998	4.16441	3	24.64	8
4.8999999999999995	5.05378	3	25.4787	8
4.9999999999999991	5.97588	3	13.0306	13
5.0999999999999988	6.61927	3	13.0306	13
5.1999999999999984	7.61288	3	13.1073	13
5.299999999999998	8.95093	3	13.1073	13
5.3999999999999977	10.3083	3	2	6
5.4999999999999973	11.6785	3	4	6
5.599999999999997	13.1341	3	6.48684	6
5.6999999999999966	14.0917	3	8.0183	6
5.7999999999999963	15.121	3	9.07844	6
5.8999999999999959	16.0844	3	10.0259	6
5.9999999999999956	16.993	3	10.8904	6
6.0999999999999952	17.9113	3	11.6045	6
6.1999999999999948	18.8379	3	12.1949	6
6.2999999999999945	19.7208	3	12.7577	6
6.3999999999999941	10.0116	10	6.49573	6
6.4999999999999938	10.2104	10	6.94712	6
6.5999999999999934	11.4177	10	8.39364	6
6.6999999999999931	12.7465	10	9.30359	6
6.7999999999999927	13.8766	10	10.23	6
6.8999999999999924	14.8535	10	11.1687	6
6.999999999999992	15.7062	10	12.117	6
7.0999999999999917	16.4539	10	13.0728	6
7.1999999999999913	17.1105	10	14.0346	6
7.2999999999999909	17.7428	10	14.9343	6
7.3999999999999906	8.87138	8	15.5265	6
7.4999999999999902	8.9841	8	16.6475	6
7.5999999999999899	8.9841	8	17.9783	6
7.6999999999999895	1	4	19.2688	6
7.7999999999999892	3	4	20.38	6
7.8999999999999888	4.70824	4	21.3399	6
7.9999999999999885	5.31903	4	22.3032	6
8.099999999999989	5.68862	4	23.2696	6
8.1999999999999886	6.36191	4	11.6348	11
8.2999999999999883	3.41118	3	11.6348	11
8.3999999999999879	4.2259	3	1	5
8.4999999999999876	5.3	3	4	5
8.5999999999999872	6.65743	3	5.57776	5
8.6999999999999869	7.77678	3	6.26331	5
8.7999999999999865	8.51881	3	6.87924	5
8.8999999999999861	4.25941	4	3.43962	3
8.9999999999999858	4.49418	4	3.73035	3
9.0999999999999854	4.49418	4	3.73035	3
9.1999999999999851	1	2	1	2
9.2999999999999847	2.9	2	2.9	2
9.3999999999999844	3.55301	2	3.55301	2
9.499999999999984	4.33944	2	5.19763	2
9.5999999999999837	5.75491	2	6.09735	2
9.6999999999999833	7.02286	2	7.02286	2
9.7999999999999829	7.83782	2	7.96541	2
9.8999999999999826	8.69112	2	8.57449	2
9.9999999999999822	9.46687	2	4.28725	4
10.099999999999982	10.3785	2	4.5205	4
10.199999999999982	11.3933	2	4.5205	4
10.299999999999981	12.4054	2	1	2
10.399999999999981	13.3404	2	2	2
10.49999999999998	14.2137	2	2.9	2
10.59999999999998	7.14203	7	3.55301	2
10.69999999999998	7.28205	7	4.56988	2
10.799999999999979	7.28205	7	6.09735	2
10.899999999999979	1	3	7.16526	2
10.999999999999979	3	3	8.33628	2
11.099999999999978	4.16441	3	9.46687	2
11.199999999999978	5.05378	3	10.3785	2
11.299999999999978	5.62582	3	11.3049	2
11.399999999999977	2.81291	2	5.95509	5
11.499999999999977	3.16841	2	6.12301	5
11.599999999999977	3.16841	2	6.12301	5
11.699999999999976	1	2	1	3
11.799999999999976	2	2	2	3
11.899999999999975	3.55301	2	3.63333	3
11.999999999999975	4.33944	2	5.05378	3
12.099999999999975	5.75491	2	5.97588	3
12.199999999999974	7.02286	2	6.77034	3
12.299999999999974	7.96541	2	7.74424	3
12.399999999999974	8.80618	2	8.48916	3
12.499999999999973	4.45987	4	4.36157	4
12.599999999999973	4.68409	4	4.59085	4
12.699999999999973	6.1825	4	4.59085	4
12.799999999999972	7.23758	4	2	2
12.899999999999972	8.51744	4	2.5	2
12.999999999999972	9.62652	4	3.55301	2
13.099999999999971	10.6193	4	4.33944	2
13.199999999999971	11.2618	4	5.19763	2
13.299999999999971	5.63089	5	5.92867	2
13.39999999999997	5.80848	5	2.96434	2
13.49999999999997	5.80848	5	4.13958	2
13.599999999999969	2	2	5.03355	2
13.699999999999969	2.9	2	6.60397	2
13.799999999999969	4.33944	2	7.59962	2
13.899999999999968	5.19763	2	8.71159	2
13.999999999999968	6.09735	2	9.59107	2
14.099999999999968	6.87746	2	10.4918	2
14.199999999999967	3.43873	3	5.43402	5
14.299999999999967	3.72954	3	5.61804	5
14.399999999999967	4.48323	3	7.05644	5
14.499999999999966	5.3173	3	8.24319	5
14.599999999999966	6.19915	3	9.16827	5
14.699999999999966	7.11114	3	9.90631	5
14.799999999999965	7.65788	3	4.95316	4
14.899999999999965	3.82894	3	5.53598	4
14.999999999999964	4.09011	3	6.69627	4
15.099999999999964	4.09011	3	8.06397	4
15.199999999999964	2	2	9.2284	4
15.299999999999963	2.9	2	10.3576	4
15.399999999999963	3.55301	2	11.3742	4
15.499999999999963	4.33944	2	12.2248	4
15.599999999999962	4.78871	2	6.1124	6
15.699999999999962	2.39435	2	6.89078	6
15.799999999999962	2.812	2	8.10224	6
15.899999999999961	4.28342	2	9.04194	6
15.999999999999961	5.15136	2	9.99286	6
16.099999999999962	6.05816	2	10.8601	6
16.199999999999964	6.69346	2	5.47607	5
16.299999999999965	3.42143	3	5.65868	5
16.399999999999967	3.98298	3	5.65868	5
16.499999999999968	5.30643	3	1	2
16.599999999999969	6.35143	3	2.9	2
16.699999999999971	7.78112	3	3.55301	2
16.799999999999972	8.98279	3	4.56988	2
16.899999999999974	9.83778	3	5.57555	2
16.999999999999975	10.7176	3	6.26135	2
